run_id_new,track,Genre,Familiarity,Type,sleep,measured_familiarity,liking,sleep_ritual,disturbing_habits,relax_body,clear_mind,distract,mask_noises,sleep_quality,fall_asleep,lullaby,extraversionsum,genre2,genre3,genre4,genre5,genre1,age,nationality,country
1_1,Ciara - I Got You - 10s.wav,Pop,Unfamiliar,Sedative,35,10,13,NA,NA,NA,NA,NA,NA,35,66,2,23,Funk,Lo-fi,Pop,Soundtack,Folk,24,NL,NL
1_1,Beatles - Yesterday Remastered 2009 - 10s.wav,Pop,Familiar,Sedative,93,100,93,84,64,82,82,83,35,35,66,2,23,Funk,Lo-fi,Pop,Soundtack,Folk,24,NL,NL
1_1,Yusuf Cat Stevens - The Wind- 10s.wav,Pop,Unfamiliar,Sedative,37,7,50,NA,NA,NA,NA,NA,NA,35,66,2,23,Funk,Lo-fi,Pop,Soundtack,Folk,24,NL,NL
1_1,Mozart - Turkish March - 10s.wav,Classical,Familiar,Excitative,60,100,73,63,37,37,23,38,38,35,66,2,23,Funk,Lo-fi,Pop,Soundtack,Folk,24,NL,NL
1_1,"Gustav Holst - Mars, the Bringer of War - 10s.wav",Classical,Unfamiliar,Excitative,0,9,77,NA,NA,NA,NA,NA,NA,35,66,2,23,Funk,Lo-fi,Pop,Soundtack,Folk,24,NL,NL
1_1,Abba - Dancing Queen - 10s.wav,Pop,Familiar,Excitative,15,96,69,NA,NA,NA,NA,NA,NA,35,66,2,23,Funk,Lo-fi,Pop,Soundtack,Folk,24,NL,NL
1_1,Gotye - Bronte - 10s.wav,Pop,Unfamiliar,Sedative,63,9,63,38,37,61,62,53,56,35,66,2,23,Funk,Lo-fi,Pop,Soundtack,Folk,24,NL,NL
1_1,Schubert - Impromptu No3 Op 90 - 10s.wav,Classical,Unfamiliar,Sedative,80,9,82,88,70,88,84,65,33,35,66,2,23,Funk,Lo-fi,Pop,Soundtack,Folk,24,NL,NL
1_1,Mozart - Eine Kleine Nachtmusik - 10s.wav,Classical,Familiar,Excitative,58,100,66,39,33,60,30,25,62,35,66,2,23,Funk,Lo-fi,Pop,Soundtack,Folk,24,NL,NL
1_1,James Smith - Little Love - 10s.wav,Pop,Unfamiliar,Excitative,22,8,58,NA,NA,NA,NA,NA,NA,35,66,2,23,Funk,Lo-fi,Pop,Soundtack,Folk,24,NL,NL
1_1,Elvis Presley - Can't Help Falling in Love - 10s.wav,Pop,Familiar,Sedative,35,100,68,NA,NA,NA,NA,NA,NA,35,66,2,23,Funk,Lo-fi,Pop,Soundtack,Folk,24,NL,NL
1_1,"Vivaldi - Four Seasons, Summer - 10s.wav",Classical,Familiar,Excitative,34,85,77,NA,NA,NA,NA,NA,NA,35,66,2,23,Funk,Lo-fi,Pop,Soundtack,Folk,24,NL,NL
1_1,Edvard Grieg - Peer Gynt - Morning Mood - 10s.wav,Classical,Familiar,Sedative,40,100,60,NA,NA,NA,NA,NA,NA,35,66,2,23,Funk,Lo-fi,Pop,Soundtack,Folk,24,NL,NL
1_1,Bruno Mars - Just the Way You Are - 10s.wav,Pop,Familiar,Excitative,11,100,26,NA,NA,NA,NA,NA,NA,35,66,2,23,Funk,Lo-fi,Pop,Soundtack,Folk,24,NL,NL
1_1,Gabriel Faure - Sicilienne - 10s.wav,Classical,Unfamiliar,Sedative,77,10,73,66,61,64,65,33,28,35,66,2,23,Funk,Lo-fi,Pop,Soundtack,Folk,24,NL,NL
1_1,Tchaikovsky - Dance of the sugar plum fairy - 10s.wav,Classical,Familiar,Sedative,37,100,55,NA,NA,NA,NA,NA,NA,35,66,2,23,Funk,Lo-fi,Pop,Soundtack,Folk,24,NL,NL
1_1,Tchaikovsky - Swan Lake - 10s.wav,Classical,Familiar,Sedative,83,63,75,68,70,79,65,34,65,35,66,2,23,Funk,Lo-fi,Pop,Soundtack,Folk,24,NL,NL
1_1,Bach - Goldberg variations bwv988 - 10s.wav,Classical,Unfamiliar,Sedative,83,12,80,79,67,78,77,72,66,35,66,2,23,Funk,Lo-fi,Pop,Soundtack,Folk,24,NL,NL
1_1,Tove Lo - Thousand Miles - 10s.wav,Pop,Unfamiliar,Excitative,3,0,23,NA,NA,NA,NA,NA,NA,35,66,2,23,Funk,Lo-fi,Pop,Soundtack,Folk,24,NL,NL
1_1,Chopin - Minute Waltz Op 64 - 10s.wav,Classical,Unfamiliar,Excitative,64,21,73,63,63,35,65,67,66,35,66,2,23,Funk,Lo-fi,Pop,Soundtack,Folk,24,NL,NL
